pays,id,date,chomage,pop
Afghanistan,AFG,1990,2.9760000705719,6823350
Afghanistan,AFG,1995,3.65300011634827,3716077
Afghanistan,AFG,2000,3.51699995994568,4606374
Afghanistan,AFG,2005,2.94199991226196,3898656
Afghanistan,AFG,2010,2.27500009536743,5055805
Afghanistan,AFG,2015,1.67900002002716,4977010
Afghanistan,AFG,2019,1.51900005340576,5120756
Albania,ALB,1990,16.7810001373291,180284
Albania,ALB,1995,17.6070003509521,501142
Albania,ALB,2000,17.7670001983643,824413
Albania,ALB,2005,16.8740005493164,966234
Albania,ALB,2010,14.0860004425049,1120305
Albania,ALB,2015,17.0799999237061,1129044
Albania,ALB,2019,13.956000328064,1207032
Algeria,DZA,1990,20.6000003814697,921727
Algeria,DZA,1995,31.8400001525879,979704
Algeria,DZA,2000,29.7700004577637,1038048
Algeria,DZA,2005,15.2700004577637,1599882
Algeria,DZA,2010,9.96000003814697,1656453
Algeria,DZA,2015,11.206000328064,1838674
Algeria,DZA,2019,12.3489999771118,1944784
Angola,AGO,1990,22.6019992828369,824942
Angola,AGO,1995,21.1480007171631,688660
Angola,AGO,2000,22.8850002288818,913314
Angola,AGO,2005,20.5319995880127,716506
Angola,AGO,2010,9.08899974822998,660056
Angola,AGO,2015,7.27899980545044,644655
Angola,AGO,2019,7.24599981307983,661590
Argentina,ARG,1990,5.44000005722046,430169
Argentina,ARG,1995,18.7999992370605,481996
Argentina,ARG,2000,15,555587
Argentina,ARG,2005,11.5059995651245,808409
Argentina,ARG,2010,7.71400022506714,938087
Argentina,ARG,2015,7.64300012588501,946815
Argentina,ARG,2019,9.98499965667725,1013414
Armenia,ARM,1990,1.60000002384186,899649
Armenia,ARM,1995,6.69999980926514,901872
Armenia,ARM,2000,11.2530002593994,876470
Armenia,ARM,2005,10.8000001907349,898086
Armenia,ARM,2010,19.007999420166,917350
Armenia,ARM,2015,18.2609996795654,946978
Armenia,ARM,2019,17.7070007324219,964848
Australia,AUS,1990,9.57900047302246,303696
Australia,AUS,1995,8.4689998626709,344311
Australia,AUS,2000,6.28299999237061,385120
Australia,AUS,2005,5.03200006484985,430599
Australia,AUS,2010,5.21099996566772,487844
Australia,AUS,2015,6.05600023269653,529676
Australia,AUS,2019,5.32800006866455,577255
Austria,AUT,1990,3.42000007629395,506088
Austria,AUT,1995,4.34700012207031,490849
Austria,AUT,2000,4.68699979782104,478831
Austria,AUT,2005,5.62799978256226,494587
Austria,AUT,2010,4.82000017166138,520152
Austria,AUT,2015,5.72300004959106,531451
Austria,AUT,2019,4.63500022888184,575950
Azerbaijan,AZE,1990,0.899999976158142,1634081
Azerbaijan,AZE,1995,7.19999980926514,1712211
Azerbaijan,AZE,2000,11.8000001907349,1628482
Azerbaijan,AZE,2005,7.30000019073486,1446116
Azerbaijan,AZE,2010,5.63000011444092,1164567
Azerbaijan,AZE,2015,4.96000003814697,1137808
Azerbaijan,AZE,2019,5.39599990844727,1155852
Bahamas,BHS,1990,12.1700000762939,25182
Bahamas,BHS,1995,10.8299999237061,29686
Bahamas,BHS,2000,7.15299987792969,34441
Bahamas,BHS,2005,10.1999998092651,34866
Bahamas,BHS,2010,14.539999961853,36004
Bahamas,BHS,2015,12,43142
Bahamas,BHS,2019,11.5019998550415,46467
Bahrain,BHR,1990,0.97299998998642,12820
Bahrain,BHR,1995,1.12800002098083,26016
Bahrain,BHR,2000,1.05299997329712,47738
Bahrain,BHR,2005,0.986000001430511,52557
Bahrain,BHR,2010,1.12999999523163,53125
Bahrain,BHR,2015,1.07599997520447,57930
Bahrain,BHR,2019,0.967999994754791,60153
Bangladesh,BGD,1990,2.20000004768372,5451831
Bangladesh,BGD,1995,2.48000001907349,5425050
Bangladesh,BGD,2000,3.26999998092651,5442722
Bangladesh,BGD,2005,4.25,5786866
Bangladesh,BGD,2010,3.37899994850159,6750115
Bangladesh,BGD,2015,4.41599988937378,7307527
Bangladesh,BGD,2019,4.29300022125244,7835152
Barbados,BRB,1990,22.4930000305176,84931
Barbados,BRB,1995,19.6599998474121,89921
Barbados,BRB,2000,9.35000038146973,95453
Barbados,BRB,2005,9.07999992370605,93504
Barbados,BRB,2010,10.6899995803833,96348
Barbados,BRB,2015,11.3500003814697,103661
Barbados,BRB,2019,9.58800029754639,112925
Belarus,BLR,1990,0.600000023841858,1767606
Belarus,BLR,1995,17.7000007629395,1736499
Belarus,BLR,2000,11.9420003890991,1685652
Belarus,BLR,2005,8.53499984741211,1581211
Belarus,BLR,2010,6.06099987030029,1465141
Belarus,BLR,2015,5.91300010681152,1472195
Belarus,BLR,2019,5.79500007629395,1480794
Belgium,BEL,1990,6.98600006103516,365360
Belgium,BEL,1995,9.33899974822998,376028
Belgium,BEL,2000,6.58599996566772,400064
Belgium,BEL,2005,8.4399995803833,439693
Belgium,BEL,2010,8.29199981689453,487203
Belgium,BEL,2015,8.48200035095215,532447
Belgium,BEL,2019,6.44099998474121,581740
Belize,BLZ,1990,8.07400035858154,36117
Belize,BLZ,1995,12.4799995422363,41959
Belize,BLZ,2000,10.5590000152588,48213
Belize,BLZ,2005,10.9099998474121,51891
Belize,BLZ,2010,11.6590003967285,57331
Belize,BLZ,2015,9.97000026702881,63256
Belize,BLZ,2019,9.49699974060059,68144
Benin,BEN,1990,1.48099994659424,234314
Benin,BEN,1995,1.2059999704361,275696
Benin,BEN,2000,0.815999984741211,328047
Benin,BEN,2005,0.805000007152557,504053
Benin,BEN,2010,1.03999996185303,540832
Benin,BEN,2015,2.46300005912781,635120
Benin,BEN,2019,2.02500009536743,666357
Bhutan,BTN,1990,1.29499995708466,28465
Bhutan,BTN,1995,1.32599997520447,117971
Bhutan,BTN,2000,1.70799994468689,120187
Bhutan,BTN,2005,3.09999990463257,118031
Bhutan,BTN,2010,3.3199999332428,86154
Bhutan,BTN,2015,2.45000004768372,47982
Bhutan,BTN,2019,2.18700003623962,49216
Bolivia (Plurinational State of),BOL,1990,2.89000010490417,224693
Bolivia (Plurinational State of),BOL,1995,3.28900003433228,283540
Bolivia (Plurinational State of),BOL,2000,3.3659999370575,344713
Bolivia (Plurinational State of),BOL,2005,3.25600004196167,543783
Bolivia (Plurinational State of),BOL,2010,2.57699990272522,780095
Bolivia (Plurinational State of),BOL,2015,3.06599998474121,825826
Bolivia (Plurinational State of),BOL,2019,3.26600003242493,878211
Bosnia and Herzegovina,BIH,1990,17.5499992370605,861766
Bosnia and Herzegovina,BIH,1995,21.2119998931885,1372534
Bosnia and Herzegovina,BIH,2000,26.1870002746582,1496702
Bosnia and Herzegovina,BIH,2005,30.4899997711182,1496969
Bosnia and Herzegovina,BIH,2010,27.3120002746582,1569275
Bosnia and Herzegovina,BIH,2015,27.6499996185303,1606003
Bosnia and Herzegovina,BIH,2019,21.2180004119873,1653056
Botswana,BWA,1990,13.8199996948242,26053
Botswana,BWA,1995,21.3880004882813,23320
Botswana,BWA,2000,15.8800001144409,26688
Botswana,BWA,2005,19.8320007324219,33296
Botswana,BWA,2010,17.8600006103516,46832
Botswana,BWA,2015,17.9559993743896,77442
Botswana,BWA,2019,18.1919994354248,86501
